rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,Brand,Material,Bottle Type,Color,Special Feature,Volume,rating_cat
1.0,Very disappointed,"For such an expensive item the inspection of the flask was lousy, chipped paint, scratches, and overall dirty. Needless to say I am returning the item and will have to buy one in person instead.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71GzOiVG-EL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71GzOiVG-EL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71GzOiVG-EL.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71jYCTuglML._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71jYCTuglML._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71jYCTuglML.jpg', 'attachment_type': 'IMAGE'}]",B01GW2HGAG,B01GW2HGAG,AGRPO4ZX45CJPDND2QJZ5NA5BIYA,1496006772000,3,True,Hydro Flask,Stainless Steel,,Graphite,,1180.0,0
1.0,The cup that can drench you,"If the nipple is pushed in by accident or dropping and your child tips it, they will be drenched. I've had enough car rides where my kid will pick the bottle up and slam it back into the cup holder causing the nipple to depress. Then it's a matter of time until the bottle is tipped back to drink or falls over.<br /><br />Some better system should be designed.",[],B015DK94R6,B00PUDI2Z2,AEPUWKOE5AF3CDEYWO5DXHFFDLLA,1628606344237,0,True,CamelBak,Plastic,"Reusable, kids, straw top",Iguanas,"Carrying Loop, Straw",400.0,0
2.0,Not very durable,"I really liked this product, initially. I purchased three of them before the holidays, one for myself and two to give as gifts. I was very pleased with my purchase, but that was short lived. As I was getting into my car this morning it slipped from my hands, landed on flat cement and now has a huge dent on the side with the coating cracked. In many of the advertisements you see people with with their Hydro Flask doing activities in the great outdoors. It made me think that not only can these things keep liquids super cold and hot, but it could probably last a long time with some light wear and tear. Well, sadly, it didn't even hold up by being dropped on flat cement while getting into a car. I expected a little more durability with all those outdoor ads and a price tag of $46.95.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61-0nW+57WL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61-0nW+57WL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61-0nW+57WL.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61mHBqbNFZL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61mHBqbNFZL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61mHBqbNFZL.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61qU+taO90L._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61qU+taO90L._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61qU+taO90L.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61xpjNVddyL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61xpjNVddyL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61xpjNVddyL.jpg', 'attachment_type': 'IMAGE'}]",B01GW2GVC0,B01GW2GVC0,AG25KBNWHX7WQMNO2BAU243VGTIQ,1483466403000,9,True,Hydro Flask,Stainless Steel,,Graphite,Premium,950.0,0
1.0,Such a bummer!,I was really happy to have found an stainless alternative to the camel bak.  My daughter used it for a short time but it didn't take long for it to get a hold in the side and leak everywhere!  I have several Kleen Kanteens and have never had a problem with those.  This stainless must be really thin which is a bad idea considering it's a product for kids!  Definitely bummed I spent the money on this!,[],B004JPI0D6,B004JPI0D6,AHPU6LQQPTQUYPEWVMPASYVLRH2A,1437571190000,1,True,EcoVessel,Metal,,Silve Express,Straw,384.4555,0
1.0,Dissapointed,Looks nice.. bt tooo hard to close... even for adults,[],B007218IZE,B08PFMM9FW,AEXXTGSEXS6N2Y55O3AD243ETBIQ,1498864542606,0,True,Nalgene,Tritan copolyester,,Pink,"Button,Leak Proof",354.882,0
2.0,Ok but not very durable,Nice looking bottle and a good size but the latch broke after one week.,[],B07YHW5S76,B07YHW5S76,AESAJVHF7NTNUECAVPKXTGIEXJDA,1614211610998,0,True,Nalgene,other,,Blue Aqua with Blue/Aqua,"Dishwasher Safe,Leak Proof",236.588,0
1.0,Great for 5 days,It was great...until it wasn't.  Literally 5 days use out of it.  Unscrewed the lid to wash for in the morning and it was broken????  Should've went with a known brand.,"[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/614f0KEiHQL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/614f0KEiHQL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/614f0KEiHQL.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61dY5oiVFpL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61dY5oiVFpL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61dY5oiVFpL.jpg', 'attachment_type': 'IMAGE'}]",B07PJ22J86,B08DMH5R1T,AEBR6A2BZLAS6RUF6WI3UC5YMYIQ,1597281387844,0,True,Simple Modern,Stainless Steel,,Ombre: Tropical Seas,"Leak Proof, Insulated",591.47,0
2.0,Not spill proof!,My 2 year old can easily push the mouthpiece in to the bottle and dump the water out… just like the cups we got these to replace. Otherwise they are great.,[],B076DGTZRP,B07F3NFCB5,AHZPX2S24IE6GROSDTNU6ABZCPAA,1628035137854,0,True,CamelBak,Plastic,,Blue & Grass,"Dishwasher Safe,Straw,Valve",414.029,0
2.0,"Good so far, but not a fan of bite cap","Not a fan of the rubber bite cap as it is tough to suck water out, technically it is dirty because it is exposed, and I'd be worried about it messing up your teeth (especially if you had braces at some point) because supposedly baby bottles are the reason many people have overbites.<br /><br />However, if you use the bite cap as a dust cover for the opening underneath and pull it on and off, then it works great where you get good water flow without struggling.<br /><br />Other than that it seems like it is tight, and quick access to water.<br /><br />UPDATE April 23, 2019: Eddy sucks, get a Chute. The cap leaks, sometimes when I pull the bite cover off water pulls out due to suction, it doesn't stay in the stationary positions it originally did. When it works, it is more efficient, but if it fails at its sole task, holding water in the bottle, then it is a fail. I will be buying a Chute top and converting this bottle to a Chute.",[],B015DJAYD0,B015DJAYD0,AGUOMZD42N4RW5OLEACPXZ3BW22A,1543333425763,0,True,CamelBak,Eastman Tritan Copolyester,,Oxford,"Dishwasher Safe,Straw",946.352,0
2.0,I miss the old Contigo bottles,"So I've always been a fan of Contigo until I've gotten this one. I like the flip top and the material the mouthpiece has(I have a tendency to chew on them and its always so durable and soft). This one is much bigger, so it has the wide base, which is ok, but its a bit awkward to hold while filling up since you have to grab it by the top part. It has a fold handle for grabbing, but there isn't a build in grip like the old Contigos had, so you can't clip it directly on your bag unless you buy a carabiner or clip separately.<br /><br />Now the biggest issue I have with this, the reason I rated it 2 stars, is that the straw inside just inserts into the underside of the lid. This causes issues with the straw lining up in the bottom side, I frequently have to drink from the bottle backwards to get that last little bit of water in there. It also sometimes falls out when I take off the lid since its just held in with a light grip. The old Contigos screwed into the lid with a harder plastic straw, but it was at an angle that forced it forward so you just drink normally to get the last bits of water at the bottom.<br /><br />Last little bit that forced me to give a low rating, it sometimes acts funny and spits or leaks at times. I layed this sideways on the couch, completely closed once, and the water leaked into the couch(no biggie, its just water, but it shouldn't have leaked like that, I even had the straw tip closed up and sealed). But I've also seen this thing spit up water as soon as I open up the mouthpiece, it just comes out like a weak fountain, like there was pressure build up on the inside. With the old Contigos, I've only had this geyser happen to me when I left it in the hot car, which the heat would have built up plenty pressure. This new one it seems to happen at random, not sure why.",[],B08RSN7C4P,B0BT9QVVTZ,AFKWYEHKC5XORITZBS42PUEPV4IA,1632766517857,5,True,Contigo,Stainless Steel,Standard Bottle,Juniper/Sake/Bubble Tea,Leak Proof,709.764,0
1.0,One Star,"Wasn't happy with the way the bottle was made, looks like something a young kid put together",[],B0083W76HC,B0083W76HC,AFA63WA5Z2VMB7J5LQSOSP34R3VA,1439239851000,0,True,Polar Bottle,,,,"Bpa Free,Dishwasher Safe,Double Wall,Insulated",354.882,0
1.0,Eddy+ is not as good as the original,"I got this in December, it’s Feb. 29th today.  We had gotten the original Eddy for my 10 year old for school last year and it lasted all year and half of this year (and actually is still good shape other than looking like it’s been through the battle of the backpack, other than some cosmetic scratches, it’s fine and he’s actually using again now after the Eddy+ failed us).  So far with this one, he’s lost the bite valve three times which it never fell off the old one so we’ve had to buy replacements but now also, there is another rubber piece that the straw connects to and then that goes up to the bite valve...this was plastic on the old Eddy, sometimes the straw would fall out of the cap but at least you could just put it back in and continue to drink from it.  Now that this other price broke, you can’t even suck water through it.  and worse yet, I don’t see that part for sale so it renders a $20 water bottle completely useless.  We’ve had nothing but problems with the Eddy+ so if you’re looking for something that’s actually durable, go with the Eddy, not the Eddy+.",[],B07HGSLDNQ,B07HGR3S4C,AFAPGL4WHBL3VDHNUHYA5JEH4OHQ,1582995533614,4,True,CamelBak,Eastman Tritan Copolyester,Reusable,Charcoal,"Carrying Loop, Straw, Leak Proof when closed",946.352,0
1.0,Horrible Lid/Straw,This new lid/straw style is absolutely horrible.  Cannot drink from it without loosening the lid.,[],B07MMZ8G16,B08SQC83XC,AG4PLNF6OOBLUDRHIK3OUBXL67QQ,1622574719739,0,True,Simple Modern,Stainless Steel,,Ombre: Tropical Seas,"Leak Proof, Insulated",946.352,0
2.0,LEAKS!,The top of this bottle does not stay latched so don't buy this product if you are going to keep it in a gym or book bag or anywhere you wouldn't want water leaking.,[],B001NCDE5W,B001NCDE5W,AHODBEGJPU3OR3WZAASIYF4DB7OA,1356805242000,0,True,Nalgene,Tritan copolyester,,Slate Blue,"Leak-proof,Push Button",700.0,0
1.0,Dented bottle,This bottle came dented.,[],B07MZCK2TF,B07MZCK2TF,AH3K5AICOJOTEJPLLSPZTMJPAV4A,1577288317132,0,True,Hydro Flask,Stainless Steel,Standard Bottle,Lilac,"Double Wall,Insulated",710.0,0
1.0,Garbage. Cap does not stay shut - water all ...,"Garbage. Cap does not stay shut - water all over my gym bag and clothes. Even if you can get it to click shut, water drips out of the top. Don't waste your money.",[],B001NCDE5C,B001NCDE5C,AE7X634EXGSVN2JLPQRIDQC2RCIA,1462814303000,1,True,Nalgene,Plastic,,Lollipop Red,"Bpa Free,Dishwasher Safe",700.0,0
1.0,Defective lid. Very disappointing,"Defective lid. Very disappointing, I have contacted the seller and I will update my review (if applicable) if/when they get back to me.",[],B01GW2H886,B01GW2H886,AHRSIPDR4BD3SCRY4OBGQWWWASVA,1515496313556,0,True,Hydro Flask,Stainless Steel,,,Durable,950.0,0
2.0,Two Stars,Great! Until you accidentally drop it and it gets dented not so durable,[],B00YIVHKUA,B0BGM8TW2T,AHQUR2IZVVTGDQZMD2WO35Q3RA6A,1475118229000,1,False,Healthy Human,steel,,Bahama,,470.0,0
2.0,Disappointed,"So after trying 3 different bottles and having no success, i decided to try this one.<br />Got it in the mail today...Shipping was very fast.<br />Opened it and saw specks on the inside, thought it wss dirt so i washed it thoroughly with a bottle scrub. After it dried, specks are still there. They seem to be rust inside already...i havent even used it. Will be returning.<br />Time to find another one 😓 its like a never ending quest lol.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61QuDXLsrfL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61QuDXLsrfL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61QuDXLsrfL.jpg', 'attachment_type': 'IMAGE'}]",B00YIVHKUA,B0BGM8TW2T,AHF7TDUBLMKLW623HIV4SFJXRCAA,1522657899105,0,True,Healthy Human,steel,,Bahama,,470.0,0
1.0,Broke in 2 weeks,Mouth spout broke after two weeks.,[],B07663TZNP,B01MPY2DBT,AHUGA5IZQ774ITKEXJITSZD47CXA,1565052542747,0,True,CamelBak,Blend,,Purple Swans,"Straw, Insulated",400.0,0
2.0,"Great design, weak material, limited use","The shape, size, and geometric design is great.  Lid secures tightly.  Bottle mouth is a bit on the narrow side for cleaning.  Need a bottle brush to do a really good cleaning or stainless steel bearings (shake with vinegar and water).  My only complaint is, the body plastic (polycarbonate?? #7) is relatively thin and quite soft.  It scratches rather easily and some scratches have developed that are deep enough to compromise the integrity.  I have owned many Nalgene products but I would not rate this as “survival gear” instead for weekend hikers or office workers.  The benefit to this softer material  is, it probably will not crack or shatter as easily if dropped in extreme cold conditions, as it provides more flex. Adding  .040” (1mm) to thickness would make all the difference.  I’d like to see the drop test data on various surfaces (jagged rocks) from different bottle orientations. At what height does it rupture and how many drops can it absorb before failure.  If NALGENE (BLACKHAWK) has NOT Performed these tests they should consult with a professional AND then use those tests to launch promotional material for videos and YouTube etc...<br />I don’t recall if it is PLA & BPA free but that should be factored into the chemistry.<br />Dan<br />Mechanical Design ALLIANCE",[],B004H89NCC,B08GPR9N86,AF2PYS6NZEQLOJETGZGT26KQVI7A,1586292357168,2,True,Nalgene,Other,,Foliage,"Bpa Free,Dishwasher Safe,Leak Proof,Narrow Mouth",900.0,0
1.0,Water does NOT remain cold,"I would not reccomend this product because it does not keep liquids cold at all. Furthermore, the model I bought for my wife is not sanitary. You have to place your mouth on the top of the bottle, which you must use your hands for to loosen. But loosening it is difficult for weak hands. It's not a solid product or design.",[],B07FXZK21G,B0160ELQL6,AECSWKY2GDLRM2P3QRW4D2RTVOKA,1614628112774,0,True,S'well,Stainless Steel,,Calacatta Gold,,260.0,0
1.0,No Great,Got these for my 3 years old for camp but the tops leak and hard to drink from. Use them for 3 days and ended up going to store and buying different cup,[],B076DGTZRP,B07F3NFCB5,AHV4RW73ZK3WZ6LYUKPRCZYJWMOQ,1626574698641,0,True,CamelBak,Plastic,,Blue & Grass,"Dishwasher Safe,Straw,Valve",414.029,0
1.0,Bad washer / gasket design.,"This bottle keeping my hot coffee for the long time......however,  the silicon washer / gasket in the cup coming out very easy so as a result I have a leaking bottle. Tried 3 bottles, same result ( 21 Oz ).  Very disappointed",[],B01F7OX6P4,B0BGM8TW2T,AELABSF2Y636QCZZ6OJPLPNQE3SA,1482935851000,4,True,Healthy Human,steel,,Bahama,,470.0,0
1.0,One Star,Product was returned because it is not what I needed.,[],B011LC85PM,B07CM8GLN9,AGO4ALFRCPB2ME564B2N357YASPA,1501108286641,2,True,Embrava,Plastic,Standard Bottle,Gray,"Leak Proof, Lightweight, Flip Top, Lockable Lid, Shatter Resistant",946.352,0
2.0,The thing I’m disappointed in is that the water bottle definitely sweats,"The thing I’m disappointed in is that the water bottle definitely sweats.  I was looking for one that doesn’t sweat.  Outside of this, it’s sturdy.",[],B011LC85PM,B07CM8GLN9,AFBSR6AV2CNFZRAJ52EJAO2H3DKA,1509412351897,0,True,Embrava,Plastic,Standard Bottle,Gray,"Leak Proof, Lightweight, Flip Top, Lockable Lid, Shatter Resistant",946.352,0
1.0,Broke after a months use,We have only had this cup for a month and it already broke. It leaks so therefore no longer “spill proof”. I was so disappointed because I heard good things about Contigo and my daughter really liked the design on the cup. Not sure if the cup we got just had a defect but really upset that it’s already broken. A rubber piece popped off the straw valve area which I’m guessing helps prevent the spills. I’m hoping I can get a replacement for either the part or cup.,"[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61iu+LYVrAL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61iu+LYVrAL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61iu+LYVrAL.jpg', 'attachment_type': 'IMAGE'}]",B073VY8683,B073VY8683,AH5XKQPGVEMLJJUION75C5O3T6SA,1545195271916,0,True,Contigo,Plastic,,Pink,"Bpa Free,Dishwasher Safe,Spout Cover,Straw",414.029,0
2.0,Straw doesn't fit,I had to cut the straw to fit into the bottle. But it falls out every time I wash it. It's neither here nor there. I think I should've spent a bit more money to buy a proper one.,[],B07HGSDRNT,B07HGR3S4C,AEZIILR6HNKRK37KRUBBHM5Z3KQQ,1619627063651,0,True,CamelBak,Eastman Tritan Copolyester,Reusable,Charcoal,"Carrying Loop, Straw, Leak Proof when closed",946.352,0
1.0,Poor construction,Did no pass the kids drop check. Split on the bottom. Would recommend a “Iron Flask” instead,[],B07X6KM5GR,B0C8JG5D9H,AFBSJE5J7JHPWG6TIZT5NPBZQ54Q,1618680734545,0,True,CamelBak,Steel,"Reusable, kids, straw top",Hatching Dinos,Straw,400.0,0
2.0,The water spout came off of 2 out of 3 purchased,"At first, we were really excited about these water bottles. My daughter uses them for school each day. They hold a lot of water without being bulky or heavy. We even decided to order more after our first order. However, we're two months into having them and the mouthpiece has come off of 2 out of the 3 purchased. I'm not convinced the last will last longer. I am disappointed, because they really were great until the water spout came off.",[],B07HGQ95SB,B07HGQ95SB,AF6DAS657SL5XYNDB3CJAZSITCMA,1567439736101,0,True,CamelBak,Eastman Tritan Copolyester,"Reusable, Straw Top",Clear,"Carrying Loop, Straw, Leak-proof when closed",739.3375,0
1.0,It stinks!,Retains odors & colors from liquids. Wish I could return it. Smells started developing after a couple of months use. The lid now has a toxic chemical type smell that I do not trust. Going in the Garbage.,[],B01N1G8K1Y,B01N1G8K1Y,AFB67MKW2R52NDFIMTEPGSQCPHYQ,1512408829789,2,True,,Stainless Steel,,Stainless Steel,"Leakproof, Double Wall",414.029,0
2.0,Easy to clean puzzle cup,"I dont like how the straw is on the top of the cup, and that there are a lot of pieces to connect in order to utilize the item. I do however love that I am able to clean, diligently every part Of the cup.",[],B07678LDVQ,B00PUDI2Z2,AFJBUREI5YEJA2WMTDDFFWXKOT5Q,1543941028891,0,True,CamelBak,Plastic,"Reusable, kids, straw top",Iguanas,"Carrying Loop, Straw",400.0,0
2.0,"Bought 2, they both leaked","I purchased 2 of these for my grandkids. One of them began leaking from the beginning. The second one seemed to work well for a couple uses, but after that it also began leaking. We did not put them in the dishwasher or anything like that. They do appear to be much easier to clean than other cups similar to this, but unfortunately that feature is useless if they're going to leak.",[],B089KVN5YF,B0BYQTG4LY,AFBBIN5NU3EBTLNKJICT2VERIHKA,1616975791061,0,True,Contigo,Stainless Steel,,Ocean,,384.4555,0
1.0,These are almost impossible for an adult to suck any water out of and completely impossible for a ...,I don't understand the positive reviews.  Sure it doesn't leak...because it's impossible to get water out of! These are almost impossible for an adult to suck any water out of and completely impossible for a toddler to get anything out of. Parents try it yourself!,[],B001NCDE2A,B001NCDE2A,AHRH5YDN3CXINXNF6XM4MXDJULQQ,1452397073000,0,True,Nalgene,Aluminum,,Blue,"Leakproof,Wide Mouth",350.0,0
1.0,broken after a month,I have owned this water bottle for a month and the plastic holder had broken where the handle meets the lid.<br />Of course it is too late to  return it. Piece of crap -stay away!!!,[],B07PD9FPFT,B08JRJNZQW,AFWVR7KPRYXSS76SMQEZZAIGRV5Q,1579671971173,0,True,Simple Modern,Stainless Steel,,- Midnight Black,,354.882,0
1.0,dented in 3 places,arrived dented in 3 places😠,[],B083GC1RJ6,B09BC52GCL,AHULQ4JVUITMXOBWM6CFHOKZFC4A,1582379473643,0,True,Hydro Flask,Stainless Steel,Standard Bottle,Hibiscus,carry-on,532.323,0
1.0,Not as expected,"I ordered the ""white"" water bottle.  FYI, It is not white.  The bottle is entirely gray.  The insert is gray. The bottle and top are gray.  Pretty disappointed.  Returning it.",[],B01FSM3D3A,B07CM8GLN9,AGLGZJBK4ZWNHIRB6HSYENSZM5XA,1537231710221,2,True,Embrava,Plastic,Standard Bottle,Gray,"Leak Proof, Lightweight, Flip Top, Lockable Lid, Shatter Resistant",946.352,0
1.0,Leaks,"I bought this water bottle almost a year ago and I loved it. But about a month ago, it stopped closing all the way so now it leaks :(",[],B01N6K88FQ,B0BTHXPZWZ,AENTEGD6FOCCCC3ZGOHIAP3KJN7A,1500381536389,1,True,Contigo,Stainless Steel,,Steel & Monaco,,709.764,0
2.0,Great lid and Design but THREAD is Not the Same,"Be advised to all Chute Camelbak fans, this DOES NOT fit the previous generation water bottle due to the tread being different! So don't think you can upgrade your water bottle with a better lid (because the first gen lid is terrible) because it won't fit. You can't even try to make it fit.. This is the main reason why I will NOT buy another Chute Camelbak water bottle again. No way. And I wanted to buy another one but Chute just burned that bridge. Reminds me of back in the day when cell phone manufacturers would a different charging port for all their phones. 2 stars not 1 because of the design specifically the magnetic feature but the thread (SMH) is different. Piss poor!",[],B077M99ZX3,B07CJQQXS4,AEDHLZY7EOON7URPLJE5XUTFU52A,1535460842902,68,True,CamelBak,Eastman Tritan™ Copolyester,Replacement part,Black,"Carrying Loop, Magnetic Cap, Leak-proof when closed",900.0,0
1.0,Dented upon receipt,Usually love the contigo bottle but this one arrived dented,"[{'small_image_url': 'https://m.media-amazon.com/images/I/81GhS-RvyQL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/81GhS-RvyQL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/81GhS-RvyQL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B089KVN5YF,B0BYQTG4LY,AGZVTCYEPP4AONACGOJCHM4MQ3HA,1669611176995,0,True,Contigo,Stainless Steel,,Ocean,,384.4555,0
1.0,Worst design EVER,"Leaks the most of any sippy i have ever owned. This isn't made like the adult version, which is awesome. This one has a mouthpiece that sinks into the cup making ALL of the contents pour out.",[],B015DK98XQ,B00PUDI2Z2,AEMFQHNNVMMCEVQSNW3WZDCDKEPA,1460926869000,0,True,CamelBak,Plastic,"Reusable, kids, straw top",Iguanas,"Carrying Loop, Straw",400.0,0
2.0,Lock broke right away,I wanted to like it but the lock broke the day I got it.,[],B01FSM3CWC,B07CM8GLN9,AHI6GKIK24IZKFA5BEKVIZYJVVMA,1563810450954,1,True,Embrava,Plastic,Standard Bottle,Gray,"Leak Proof, Lightweight, Flip Top, Lockable Lid, Shatter Resistant",946.352,0
1.0,Leaks easily,Leaks easily,[],B015DK94R6,B00PUDI2Z2,AGB25MZFNPLBYDWXAQXSPV5KOWCQ,1583294209323,0,True,CamelBak,Plastic,"Reusable, kids, straw top",Iguanas,"Carrying Loop, Straw",400.0,0
1.0,Bad quality.,I bought two of these bottles and one is leaking. Bad quality.,[],B0777QHV5Z,B0BGM8TW2T,AE4VBHY6KVPO47P6JFCLSKZK54RA,1531848258770,1,True,Healthy Human,steel,,Bahama,,470.0,0
2.0,not a big fan of the design,"got this bottle for my kindergartener at school. its leak proof and light weight. i loke it that its easy to wash and care. However, not sure if it was just me having this problem — when i pressed the button to open the bottle with both of my hands, the lid banged on my fingers and nails so badly that it hurt. my son had the same problem when he opens it. I am not sure if there is another way to open this but I know I will look for other bottles instead soon.",[],B01FZD7GLW,B0BBH8DXL4,AEQJ35RWKAIWDKX7N2ORRCQBKZOA,1630279436266,0,True,Ello,Plastic,,Grey,Spout Cover,473.176,0
